,index,Series,Year,Value,Country
1496,MUS,Current account balance (% of GDP),2023,-8.2,Mauritius
1497,MWI,Current account balance (% of GDP),2023,-12.2,Malawi
1498,MYS,Current account balance (% of GDP),2023,2.6,Malaysia
1499,NAM,Current account balance (% of GDP),2023,-5.3,Namibia
1501,NER,Current account balance (% of GDP),2023,-12.8,Niger
1502,NGA,Current account balance (% of GDP),2023,-0.6,Nigeria
1503,NIC,Current account balance (% of GDP),2023,-2.1,Nicaragua
1507,NPL,Current account balance (% of GDP),2023,-5.2,Nepal
1508,NRU,Current account balance (% of GDP),2023,5.8,Nauru
1513,PAK,Current account balance (% of GDP),2023,-2.3,Pakistan
1514,PAN,Current account balance (% of GDP),2023,-4.3,Panama
1515,PER,Current account balance (% of GDP),2023,-2.1,Peru
1516,PHL,Current account balance (% of GDP),2023,-2.5,Philippines
1518,PLW,Current account balance (% of GDP),2023,-55.7,Palau
1519,PNG,Current account balance (% of GDP),2023,24.6,Papua New Guinea
1522,PRY,Current account balance (% of GDP),2023,-2.5,Paraguay
1526,RWA,Current account balance (% of GDP),2023,-13.2,Rwanda
1529,SDN,Current account balance (% of GDP),2023,-7.2,Sudan
1530,SEN,Current account balance (% of GDP),2023,-10.4,Senegal
1533,SLB,Current account balance (% of GDP),2023,-12.6,Solomon Islands
1534,SLE,Current account balance (% of GDP),2023,-6.1,Sierra Leone
1535,SLV,Current account balance (% of GDP),2023,-5.4,El Salvador
1538,SOM,Current account balance (% of GDP),2023,-16.4,Somalia
1539,SRB,Current account balance (% of GDP),2023,-6.1,Serbia
1541,SSD,Current account balance (% of GDP),2023,6.3,South Sudan
1543,STP,Current account balance (% of GDP),2023,-11.8,Sao Tome and Principe
1544,SUR,Current account balance (% of GDP),2023,0.0,Suriname
1548,SWZ,Current account balance (% of GDP),2023,3.4,Eswatini
1550,SYR,Current account balance (% of GDP),2023,,Syrian Arab Republic
1551,TCD,Current account balance (% of GDP),2023,-1.4,Chad
1552,TGO,Current account balance (% of GDP),2023,-4.0,Togo
1553,THA,Current account balance (% of GDP),2023,1.2,Thailand
1554,TJK,Current account balance (% of GDP),2023,-1.9,Tajikistan
1555,TKM,Current account balance (% of GDP),2023,4.6,Turkmenistan
1556,TLS,Current account balance (% of GDP),2023,-42.4,Timor-Leste
1557,TON,Current account balance (% of GDP),2023,-10.9,Tonga
1559,TUN,Current account balance (% of GDP),2023,-7.1,Tunisia
1560,TUR,Current account balance (% of GDP),2023,-4.0,Türkiye
1561,TUV,Current account balance (% of GDP),2023,-5.6,Tuvalu
1563,TZA,Current account balance (% of GDP),2023,-4.0,Tanzania
1564,UGA,Current account balance (% of GDP),2023,-10.9,Uganda
1565,UKR,Current account balance (% of GDP),2023,-4.4,Ukraine
1569,UZB,Current account balance (% of GDP),2023,-3.5,Uzbekistan
1570,VCT,Current account balance (% of GDP),2023,-18.9,Saint Vincent and the Grenadines
1571,VEN,Current account balance (% of GDP),2023,5.0,Venezuela
1572,VNM,Current account balance (% of GDP),2023,0.2,Viet Nam
1573,VUT,Current account balance (% of GDP),2023,-3.6,Vanuatu
1578,WSM,Current account balance (% of GDP),2023,-3.3,Samoa
1579,YEM,Current account balance (% of GDP),2023,-18.7,Yemen
1580,ZAF,Current account balance (% of GDP),2023,-2.3,South Africa
1581,ZMB,Current account balance (% of GDP),2023,3.8,Zambia
1582,ZWE,Current account balance (% of GDP),2023,0.4,Zimbabwe
1585,AFG,Change of average inflation rate consumer prices (in %),2023,,Afghanistan
1587,AGO,Change of average inflation rate consumer prices (in %),2023,11.7,Angola
1588,ALB,Change of average inflation rate consumer prices (in %),2023,5.0,Albania
1592,ARG,Change of average inflation rate consumer prices (in %),2023,98.6,Argentina
1593,ARM,Change of average inflation rate consumer prices (in %),2023,7.1,Armenia
1595,ATG,Change of average inflation rate consumer prices (in %),2023,5.1,Antigua and Barbuda
1598,AZE,Change of average inflation rate consumer prices (in %),2023,11.3,Azerbaijan
1600,BDI,Change of average inflation rate consumer prices (in %),2023,16.0,Burundi
1602,BEN,Change of average inflation rate consumer prices (in %),2023,3.0,Benin
1603,BFA,Change of average inflation rate consumer prices (in %),2023,1.5,Burkina Faso
1604,BGD,Change of average inflation rate consumer prices (in %),2023,8.6,Bangladesh
1608,BIH,Change of average inflation rate consumer prices (in %),2023,6.0,Bosnia and Herzegovina
1609,BLR,Change of average inflation rate consumer prices (in %),2023,7.5,Belarus
1610,BLZ,Change of average inflation rate consumer prices (in %),2023,4.1,Belize
1611,BOL,Change of average inflation rate consumer prices (in %),2023,4.0,Bolivia
1612,BRA,Change of average inflation rate consumer prices (in %),2023,5.0,Brazil
1615,BTN,Change of average inflation rate consumer prices (in %),2023,5.6,Bhutan
1616,BWA,Change of average inflation rate consumer prices (in %),2023,6.5,Botswana
1617,CAF,Change of average inflation rate consumer prices (in %),2023,6.3,Central African Republic
1623,CHN,Change of average inflation rate consumer prices (in %),2023,2.0,China (People's Republic of)
1624,CIV,Change of average inflation rate consumer prices (in %),2023,3.7,Côte d'Ivoire
1626,CMR,Change of average inflation rate consumer prices (in %),2023,5.9,Cameroon
1627,COD,Change of average inflation rate consumer prices (in %),2023,10.8,Democratic Republic of the Congo
1628,COG,Change of average inflation rate consumer prices (in %),2023,3.3,Congo
1629,COL,Change of average inflation rate consumer prices (in %),2023,10.9,Colombia
1630,COM,Change of average inflation rate consumer prices (in %),2023,8.1,Comoros
1631,CPV,Change of average inflation rate consumer prices (in %),2023,4.5,Cabo Verde
1632,CRI,Change of average inflation rate consumer prices (in %),2023,5.2,Costa Rica
1637,DJI,Change of average inflation rate consumer prices (in %),2023,3.2,Djibouti
1638,DMA,Change of average inflation rate consumer prices (in %),2023,6.2,Dominica
1640,DOM,Change of average inflation rate consumer prices (in %),2023,5.7,Dominican Republic
1641,DZA,Change of average inflation rate consumer prices (in %),2023,8.1,Algeria
1643,ECU,Change of average inflation rate consumer prices (in %),2023,2.5,Ecuador
1646,EGY,Change of average inflation rate consumer prices (in %),2023,21.6,Egypt
1647,ERI,Change of average inflation rate consumer prices (in %),2023,6.4,Eritrea
1650,ETH,Change of average inflation rate consumer prices (in %),2023,31.4,Ethiopia
1655,FJI,Change of average inflation rate consumer prices (in %),2023,3.5,Fiji
1657,FSM,Change of average inflation rate consumer prices (in %),2023,4.7,Micronesia
1658,GAB,Change of average inflation rate consumer prices (in %),2023,3.4,Gabon
1660,GEO,Change of average inflation rate consumer prices (in %),2023,5.9,Georgia
1661,GHA,Change of average inflation rate consumer prices (in %),2023,45.4,Ghana
1662,GIN,Change of average inflation rate consumer prices (in %),2023,8.1,Guinea
1663,GMB,Change of average inflation rate consumer prices (in %),2023,11.3,Gambia
1664,GNB,Change of average inflation rate consumer prices (in %),2023,5.0,Guinea-Bissau
1665,GNQ,Change of average inflation rate consumer prices (in %),2023,5.7,Equatorial Guinea
1667,GRD,Change of average inflation rate consumer prices (in %),2023,3.2,Grenada
1668,GTM,Change of average inflation rate consumer prices (in %),2023,7.4,Guatemala
1669,GUY,Change of average inflation rate consumer prices (in %),2023,6.6,Guyana
1671,HND,Change of average inflation rate consumer prices (in %),2023,6.9,Honduras
1673,HTI,Change of average inflation rate consumer prices (in %),2023,44.5,Haiti
1675,IDN,Change of average inflation rate consumer prices (in %),2023,4.4,Indonesia
1676,IND,Change of average inflation rate consumer prices (in %),2023,4.9,India
1678,IRN,Change of average inflation rate consumer prices (in %),2023,42.5,Iran
1679,IRQ,Change of average inflation rate consumer prices (in %),2023,6.6,Iraq
1683,JAM,Change of average inflation rate consumer prices (in %),2023,7.0,Jamaica
1684,JOR,Change of average inflation rate consumer prices (in %),2023,3.8,Jordan
1686,KAZ,Change of average inflation rate consumer prices (in %),2023,14.8,Kazakhstan
1687,KEN,Change of average inflation rate consumer prices (in %),2023,7.8,Kenya
1688,KGZ,Change of average inflation rate consumer prices (in %),2023,11.3,Kyrgyzstan
1689,KHM,Change of average inflation rate consumer prices (in %),2023,3.0,Cambodia
1690,KIR,Change of average inflation rate consumer prices (in %),2023,8.6,Kiribati
1694,LAO,Change of average inflation rate consumer prices (in %),2023,15.1,Lao People's Democratic Republic
1695,LBN,Change of average inflation rate consumer prices (in %),2023,,Lebanon
1696,LBR,Change of average inflation rate consumer prices (in %),2023,6.9,Liberia
1697,LBY,Change of average inflation rate consumer prices (in %),2023,3.4,Libya
1698,LCA,Change of average inflation rate consumer prices (in %),2023,4.9,Saint Lucia
1699,LKA,Change of average inflation rate consumer prices (in %),2023,28.5,Sri Lanka
1700,LSO,Change of average inflation rate consumer prices (in %),2023,6.8,Lesotho
1706,MAR,Change of average inflation rate consumer prices (in %),2023,4.6,Morocco
1707,MDA,Change of average inflation rate consumer prices (in %),2023,13.8,Moldova
1708,MDG,Change of average inflation rate consumer prices (in %),2023,9.5,Madagascar
1709,MDV,Change of average inflation rate consumer prices (in %),2023,5.2,Maldives
1712,MEX,Change of average inflation rate consumer prices (in %),2023,6.3,Mexico
1713,MHL,Change of average inflation rate consumer prices (in %),2023,2.2,Marshall Islands
1714,MKD,Change of average inflation rate consumer prices (in %),2023,9.2,North Macedonia
1715,MLI,Change of average inflation rate consumer prices (in %),2023,5.0,Mali
1717,MMR,Change of average inflation rate consumer prices (in %),2023,14.2,Myanmar
1718,MNE,Change of average inflation rate consumer prices (in %),2023,9.7,Montenegro
1719,MNG,Change of average inflation rate consumer prices (in %),2023,11.2,Mongolia
1720,MOZ,Change of average inflation rate consumer prices (in %),2023,7.4,Mozambique
1721,MRT,Change of average inflation rate consumer prices (in %),2023,9.5,Mauritania
1722,MUS,Change of average inflation rate consumer prices (in %),2023,9.5,Mauritius
1723,MWI,Change of average inflation rate consumer prices (in %),2023,24.7,Malawi
1724,MYS,Change of average inflation rate consumer prices (in %),2023,2.9,Malaysia
1725,NAM,Change of average inflation rate consumer prices (in %),2023,5.0,Namibia
1727,NER,Change of average inflation rate consumer prices (in %),2023,2.8,Niger
1728,NGA,Change of average inflation rate consumer prices (in %),2023,20.1,Nigeria
1729,NIC,Change of average inflation rate consumer prices (in %),2023,8.5,Nicaragua
1733,NPL,Change of average inflation rate consumer prices (in %),2023,7.8,Nepal
1734,NRU,Change of average inflation rate consumer prices (in %),2023,4.2,Nauru
1739,PAK,Change of average inflation rate consumer prices (in %),2023,27.1,Pakistan
1740,PAN,Change of average inflation rate consumer prices (in %),2023,2.2,Panama
1741,PER,Change of average inflation rate consumer prices (in %),2023,5.7,Peru
1742,PHL,Change of average inflation rate consumer prices (in %),2023,6.3,Philippines
1744,PLW,Change of average inflation rate consumer prices (in %),2023,7.9,Palau
1745,PNG,Change of average inflation rate consumer prices (in %),2023,5.4,Papua New Guinea
1749,PRY,Change of average inflation rate consumer prices (in %),2023,5.2,Paraguay
1753,RWA,Change of average inflation rate consumer prices (in %),2023,8.2,Rwanda
1756,SDN,Change of average inflation rate consumer prices (in %),2023,71.6,Sudan
1757,SEN,Change of average inflation rate consumer prices (in %),2023,5.0,Senegal
1760,SLB,Change of average inflation rate consumer prices (in %),2023,4.8,Solomon Islands
1761,SLE,Change of average inflation rate consumer prices (in %),2023,37.8,Sierra Leone
1762,SLV,Change of average inflation rate consumer prices (in %),2023,4.1,El Salvador
1764,SOM,Change of average inflation rate consumer prices (in %),2023,4.2,Somalia
1765,SRB,Change of average inflation rate consumer prices (in %),2023,12.2,Serbia
1767,SSD,Change of average inflation rate consumer prices (in %),2023,27.8,South Sudan
1769,STP,Change of average inflation rate consumer prices (in %),2023,17.9,Sao Tome and Principe
1770,SUR,Change of average inflation rate consumer prices (in %),2023,42.7,Suriname
1774,SWZ,Change of average inflation rate consumer prices (in %),2023,5.4,Eswatini
1776,SYR,Change of average inflation rate consumer prices (in %),2023,,Syrian Arab Republic
1777,TCD,Change of average inflation rate consumer prices (in %),2023,3.4,Chad
1778,TGO,Change of average inflation rate consumer prices (in %),2023,5.3,Togo
1779,THA,Change of average inflation rate consumer prices (in %),2023,2.8,Thailand
1780,TJK,Change of average inflation rate consumer prices (in %),2023,5.4,Tajikistan
1781,TKM,Change of average inflation rate consumer prices (in %),2023,6.7,Turkmenistan
1782,TLS,Change of average inflation rate consumer prices (in %),2023,4.0,Timor-Leste
1783,TON,Change of average inflation rate consumer prices (in %),2023,9.7,Tonga
1785,TUN,Change of average inflation rate consumer prices (in %),2023,10.9,Tunisia
1786,TUR,Change of average inflation rate consumer prices (in %),2023,50.6,Türkiye
1787,TUV,Change of average inflation rate consumer prices (in %),2023,5.9,Tuvalu
1789,TZA,Change of average inflation rate consumer prices (in %),2023,4.9,Tanzania
1790,UGA,Change of average inflation rate consumer prices (in %),2023,7.6,Uganda
1791,UKR,Change of average inflation rate consumer prices (in %),2023,21.1,Ukraine
1795,UZB,Change of average inflation rate consumer prices (in %),2023,11.8,Uzbekistan
1796,VCT,Change of average inflation rate consumer prices (in %),2023,3.5,Saint Vincent and the Grenadines
1797,VEN,Change of average inflation rate consumer prices (in %),2023,400.0,Venezuela
1798,VNM,Change of average inflation rate consumer prices (in %),2023,5.0,Viet Nam
1799,VUT,Change of average inflation rate consumer prices (in %),2023,3.5,Vanuatu
1805,WSM,Change of average inflation rate consumer prices (in %),2023,10.0,Samoa
1806,YEM,Change of average inflation rate consumer prices (in %),2023,16.8,Yemen
1807,ZAF,Change of average inflation rate consumer prices (in %),2023,5.8,South Africa
1808,ZMB,Change of average inflation rate consumer prices (in %),2023,8.9,Zambia
1809,ZWE,Change of average inflation rate consumer prices (in %),2023,172.2,Zimbabwe
1812,AFG,General Government Debt (% of GDP),2024,,Afghanistan
1814,AGO,General Government Debt (% of GDP),2024,59.2,Angola
1815,ALB,General Government Debt (% of GDP),2024,66.7,Albania
1819,ARG,General Government Debt (% of GDP),2024,73.6,Argentina
1820,ARM,General Government Debt (% of GDP),2024,50.2,Armenia
1822,ATG,General Government Debt (% of GDP),2024,79.9,Antigua and Barbuda
1825,AZE,General Government Debt (% of GDP),2024,23.4,Azerbaijan
1827,BDI,General Government Debt (% of GDP),2024,61.0,Burundi
1829,BEN,General Government Debt (% of GDP),2024,51.6,Benin
1830,BFA,General Government Debt (% of GDP),2024,60.2,Burkina Faso
1831,BGD,General Government Debt (% of GDP),2024,42.4,Bangladesh
1835,BIH,General Government Debt (% of GDP),2024,27.3,Bosnia and Herzegovina
1836,BLR,General Government Debt (% of GDP),2024,40.3,Belarus
1837,BLZ,General Government Debt (% of GDP),2024,58.5,Belize
1838,BOL,General Government Debt (% of GDP),2024,83.1,Bolivia
1839,BRA,General Government Debt (% of GDP),2024,91.5,Brazil
1842,BTN,General Government Debt (% of GDP),2024,130.4,Bhutan
1843,BWA,General Government Debt (% of GDP),2024,19.3,Botswana
1844,CAF,General Government Debt (% of GDP),2024,48.5,Central African Republic
1850,CHN,General Government Debt (% of GDP),2024,87.2,China (People's Republic of)
1851,CIV,General Government Debt (% of GDP),2024,60.6,Côte d'Ivoire
1853,CMR,General Government Debt (% of GDP),2024,40.4,Cameroon
1854,COD,General Government Debt (% of GDP),2024,9.0,Democratic Republic of the Congo
1855,COG,General Government Debt (% of GDP),2024,89.2,Congo
1856,COL,General Government Debt (% of GDP),2024,61.1,Colombia
1857,COM,General Government Debt (% of GDP),2024,35.7,Comoros
1858,CPV,General Government Debt (% of GDP),2024,117.9,Cabo Verde
1859,CRI,General Government Debt (% of GDP),2024,62.8,Costa Rica
1864,DJI,General Government Debt (% of GDP),2024,36.7,Djibouti
1865,DMA,General Government Debt (% of GDP),2024,93.0,Dominica
1867,DOM,General Government Debt (% of GDP),2024,58.0,Dominican Republic
1868,DZA,General Government Debt (% of GDP),2024,55.4,Algeria
1870,ECU,General Government Debt (% of GDP),2024,,Ecuador
1873,EGY,General Government Debt (% of GDP),2024,87.0,Egypt
1874,ERI,General Government Debt (% of GDP),2024,135.3,Eritrea
1877,ETH,General Government Debt (% of GDP),2024,33.3,Ethiopia
1882,FJI,General Government Debt (% of GDP),2024,87.4,Fiji
1884,FSM,General Government Debt (% of GDP),2024,16.5,Micronesia
1885,GAB,General Government Debt (% of GDP),2024,58.2,Gabon
1887,GEO,General Government Debt (% of GDP),2024,40.3,Georgia
1888,GHA,General Government Debt (% of GDP),2024,92.8,Ghana
1889,GIN,General Government Debt (% of GDP),2024,30.1,Guinea
1890,GMB,General Government Debt (% of GDP),2024,68.6,Gambia
1891,GNB,General Government Debt (% of GDP),2024,74.7,Guinea-Bissau
1892,GNQ,General Government Debt (% of GDP),2024,29.5,Equatorial Guinea
1894,GRD,General Government Debt (% of GDP),2024,59.7,Grenada
1895,GTM,General Government Debt (% of GDP),2024,28.1,Guatemala
1896,GUY,General Government Debt (% of GDP),2024,24.2,Guyana
1898,HND,General Government Debt (% of GDP),2024,,Honduras
1900,HTI,General Government Debt (% of GDP),2024,19.9,Haiti
1902,IDN,General Government Debt (% of GDP),2024,38.8,Indonesia
1903,IND,General Government Debt (% of GDP),2024,83.7,India
1905,IRN,General Government Debt (% of GDP),2024,32.7,Iran
1906,IRQ,General Government Debt (% of GDP),2024,46.8,Iraq
1910,JAM,General Government Debt (% of GDP),2024,74.0,Jamaica
1911,JOR,General Government Debt (% of GDP),2024,85.6,Jordan
1913,KAZ,General Government Debt (% of GDP),2024,27.0,Kazakhstan
1914,KEN,General Government Debt (% of GDP),2024,65.4,Kenya
1915,KGZ,General Government Debt (% of GDP),2024,52.9,Kyrgyzstan
1916,KHM,General Government Debt (% of GDP),2024,38.8,Cambodia
1917,KIR,General Government Debt (% of GDP),2024,23.4,Kiribati
1921,LAO,General Government Debt (% of GDP),2024,119.9,Lao People's Democratic Republic
1922,LBN,General Government Debt (% of GDP),2024,,Lebanon
1923,LBR,General Government Debt (% of GDP),2024,56.1,Liberia
1924,LCA,General Government Debt (% of GDP),2024,83.4,Saint Lucia
1925,LKA,General Government Debt (% of GDP),2024,,Sri Lanka
1926,LSO,General Government Debt (% of GDP),2024,57.3,Lesotho
1932,MAR,General Government Debt (% of GDP),2024,68.4,Morocco
1933,MDA,General Government Debt (% of GDP),2024,36.7,Moldova
1934,MDG,General Government Debt (% of GDP),2024,52.0,Madagascar
1935,MDV,General Government Debt (% of GDP),2024,108.0,Maldives
1938,MEX,General Government Debt (% of GDP),2024,55.8,Mexico
1939,MHL,General Government Debt (% of GDP),2024,24.3,Marshall Islands
1940,MKD,General Government Debt (% of GDP),2024,50.8,North Macedonia
1941,MLI,General Government Debt (% of GDP),2024,54.9,Mali
1943,MMR,General Government Debt (% of GDP),2024,63.3,Myanmar
1944,MNE,General Government Debt (% of GDP),2024,67.6,Montenegro
1945,MNG,General Government Debt (% of GDP),2024,73.0,Mongolia
1946,MOZ,General Government Debt (% of GDP),2024,103.1,Mozambique
1947,MRT,General Government Debt (% of GDP),2024,48.2,Mauritania
1948,MUS,General Government Debt (% of GDP),2024,77.1,Mauritius
1949,MWI,General Government Debt (% of GDP),2024,69.4,Malawi
1950,MYS,General Government Debt (% of GDP),2024,67.1,Malaysia
1951,NAM,General Government Debt (% of GDP),2024,66.8,Namibia
1953,NER,General Government Debt (% of GDP),2024,49.4,Niger
1954,NGA,General Government Debt (% of GDP),2024,39.0,Nigeria
1955,NIC,General Government Debt (% of GDP),2024,45.0,Nicaragua
1959,NPL,General Government Debt (% of GDP),2024,48.8,Nepal
1960,NRU,General Government Debt (% of GDP),2024,26.1,Nauru
1965,PAK,General Government Debt (% of GDP),2024,68.9,Pakistan
1966,PAN,General Government Debt (% of GDP),2024,53.6,Panama
1967,PER,General Government Debt (% of GDP),2024,33.3,Peru
1968,PHL,General Government Debt (% of GDP),2024,56.8,Philippines
1970,PNG,General Government Debt (% of GDP),2024,47.6,Papua New Guinea
1974,PRY,General Government Debt (% of GDP),2024,40.3,Paraguay
1978,RWA,General Government Debt (% of GDP),2024,71.1,Rwanda
1981,SDN,General Government Debt (% of GDP),2024,166.4,Sudan
1982,SEN,General Government Debt (% of GDP),2024,69.9,Senegal
1985,SLB,General Government Debt (% of GDP),2024,25.7,Solomon Islands
1986,SLE,General Government Debt (% of GDP),2024,84.9,Sierra Leone
1987,SLV,General Government Debt (% of GDP),2024,78.3,El Salvador
1990,SRB,General Government Debt (% of GDP),2024,46.1,Serbia
1992,SSD,General Government Debt (% of GDP),2024,46.1,South Sudan
1994,STP,General Government Debt (% of GDP),2024,54.2,Sao Tome and Principe
1995,SUR,General Government Debt (% of GDP),2024,103.2,Suriname
1999,SWZ,General Government Debt (% of GDP),2024,37.2,Eswatini
2001,SYR,General Government Debt (% of GDP),2024,,Syrian Arab Republic
2002,TCD,General Government Debt (% of GDP),2024,40.1,Chad
2003,TGO,General Government Debt (% of GDP),2024,69.0,Togo
2004,THA,General Government Debt (% of GDP),2024,61.6,Thailand
2005,TJK,General Government Debt (% of GDP),2024,31.3,Tajikistan
2006,TKM,General Government Debt (% of GDP),2024,3.7,Turkmenistan
2007,TLS,General Government Debt (% of GDP),2024,20.1,Timor-Leste
2008,TON,General Government Debt (% of GDP),2024,41.5,Tonga
2010,TUN,General Government Debt (% of GDP),2024,79.1,Tunisia
2011,TUR,General Government Debt (% of GDP),2024,36.7,Türkiye
2012,TUV,General Government Debt (% of GDP),2024,5.4,Tuvalu
2014,TZA,General Government Debt (% of GDP),2024,38.5,Tanzania
2015,UGA,General Government Debt (% of GDP),2024,49.2,Uganda
2016,UKR,General Government Debt (% of GDP),2024,,Ukraine
2020,UZB,General Government Debt (% of GDP),2024,32.9,Uzbekistan
2021,VCT,General Government Debt (% of GDP),2024,90.1,Saint Vincent and the Grenadines
2022,VEN,General Government Debt (% of GDP),2024,,Venezuela
2023,VNM,General Government Debt (% of GDP),2024,35.4,Viet Nam
2024,VUT,General Government Debt (% of GDP),2024,52.3,Vanuatu
2029,WSM,General Government Debt (% of GDP),2024,39.3,Samoa
2030,YEM,General Government Debt (% of GDP),2024,57.1,Yemen
2031,ZAF,General Government Debt (% of GDP),2024,74.0,South Africa
2032,ZMB,General Government Debt (% of GDP),2024,,Zambia
2033,ZWE,General Government Debt (% of GDP),2024,100.0,Zimbabwe
2036,AFG,Real GDP Growth (in %),2024,,Afghanistan
2038,AGO,Real GDP Growth (in %),2024,3.7,Angola
2039,ALB,Real GDP Growth (in %),2024,3.3,Albania
2043,ARG,Real GDP Growth (in %),2024,2.0,Argentina
2044,ARM,Real GDP Growth (in %),2024,5.0,Armenia
2046,ATG,Real GDP Growth (in %),2024,5.4,Antigua and Barbuda
2049,AZE,Real GDP Growth (in %),2024,2.6,Azerbaijan
2051,BDI,Real GDP Growth (in %),2024,6.0,Burundi
2053,BEN,Real GDP Growth (in %),2024,5.9,Benin
2054,BFA,Real GDP Growth (in %),2024,5.9,Burkina Faso
2055,BGD,Real GDP Growth (in %),2024,6.5,Bangladesh
2059,BIH,Real GDP Growth (in %),2024,3.0,Bosnia and Herzegovina
2060,BLR,Real GDP Growth (in %),2024,1.2,Belarus
2061,BLZ,Real GDP Growth (in %),2024,2.0,Belize
2062,BOL,Real GDP Growth (in %),2024,1.9,Bolivia
2063,BRA,Real GDP Growth (in %),2024,1.5,Brazil
2066,BTN,Real GDP Growth (in %),2024,3.4,Bhutan
2067,BWA,Real GDP Growth (in %),2024,4.3,Botswana
2068,CAF,Real GDP Growth (in %),2024,3.8,Central African Republic
2074,CHN,Real GDP Growth (in %),2024,4.5,China (People's Republic of)
2075,CIV,Real GDP Growth (in %),2024,6.6,Côte d'Ivoire
2077,CMR,Real GDP Growth (in %),2024,4.4,Cameroon
2078,COD,Real GDP Growth (in %),2024,6.5,Democratic Republic of the Congo
2079,COG,Real GDP Growth (in %),2024,4.6,Congo
2080,COL,Real GDP Growth (in %),2024,1.9,Colombia
2081,COM,Real GDP Growth (in %),2024,3.6,Comoros
2082,CPV,Real GDP Growth (in %),2024,5.4,Cabo Verde
2083,CRI,Real GDP Growth (in %),2024,3.2,Costa Rica
2088,DJI,Real GDP Growth (in %),2024,6.0,Djibouti
2089,DMA,Real GDP Growth (in %),2024,4.7,Dominica
2091,DOM,Real GDP Growth (in %),2024,5.0,Dominican Republic
2092,DZA,Real GDP Growth (in %),2024,2.6,Algeria
2094,ECU,Real GDP Growth (in %),2024,2.8,Ecuador
2097,EGY,Real GDP Growth (in %),2024,5.0,Egypt
2098,ERI,Real GDP Growth (in %),2024,2.9,Eritrea
2101,ETH,Real GDP Growth (in %),2024,6.4,Ethiopia
2106,FJI,Real GDP Growth (in %),2024,5.0,Fiji
2108,FSM,Real GDP Growth (in %),2024,2.8,Micronesia
2109,GAB,Real GDP Growth (in %),2024,3.1,Gabon
2111,GEO,Real GDP Growth (in %),2024,5.0,Georgia
2112,GHA,Real GDP Growth (in %),2024,2.9,Ghana
2113,GIN,Real GDP Growth (in %),2024,5.7,Guinea
2114,GMB,Real GDP Growth (in %),2024,6.3,Gambia
2115,GNB,Real GDP Growth (in %),2024,5.0,Guinea-Bissau
2116,GNQ,Real GDP Growth (in %),2024,-8.2,Equatorial Guinea
2118,GRD,Real GDP Growth (in %),2024,4.1,Grenada
2119,GTM,Real GDP Growth (in %),2024,3.5,Guatemala
2120,GUY,Real GDP Growth (in %),2024,45.3,Guyana
2122,HND,Real GDP Growth (in %),2024,3.5,Honduras
2124,HTI,Real GDP Growth (in %),2024,1.2,Haiti
2126,IDN,Real GDP Growth (in %),2024,5.1,Indonesia
2127,IND,Real GDP Growth (in %),2024,6.3,India
2129,IRN,Real GDP Growth (in %),2024,2.0,Iran
2130,IRQ,Real GDP Growth (in %),2024,3.1,Iraq
2134,JAM,Real GDP Growth (in %),2024,2.0,Jamaica
2135,JOR,Real GDP Growth (in %),2024,2.7,Jordan
2137,KAZ,Real GDP Growth (in %),2024,4.9,Kazakhstan
2138,KEN,Real GDP Growth (in %),2024,5.4,Kenya
2139,KGZ,Real GDP Growth (in %),2024,3.8,Kyrgyzstan
2140,KHM,Real GDP Growth (in %),2024,6.2,Cambodia
2141,KIR,Real GDP Growth (in %),2024,2.4,Kiribati
2145,LAO,Real GDP Growth (in %),2024,4.0,Lao People's Democratic Republic
2146,LBN,Real GDP Growth (in %),2024,,Lebanon
2147,LBR,Real GDP Growth (in %),2024,5.5,Liberia
2148,LBY,Real GDP Growth (in %),2024,8.4,Libya
2149,LCA,Real GDP Growth (in %),2024,2.2,Saint Lucia
2150,LKA,Real GDP Growth (in %),2024,1.5,Sri Lanka
2151,LSO,Real GDP Growth (in %),2024,2.3,Lesotho
2157,MAR,Real GDP Growth (in %),2024,3.1,Morocco
2158,MDA,Real GDP Growth (in %),2024,4.3,Moldova
2159,MDG,Real GDP Growth (in %),2024,4.8,Madagascar
2160,MDV,Real GDP Growth (in %),2024,5.7,Maldives
2163,MEX,Real GDP Growth (in %),2024,1.6,Mexico
2164,MHL,Real GDP Growth (in %),2024,2.0,Marshall Islands
2165,MKD,Real GDP Growth (in %),2024,3.6,North Macedonia
2166,MLI,Real GDP Growth (in %),2024,5.1,Mali
2168,MMR,Real GDP Growth (in %),2024,2.6,Myanmar
2169,MNE,Real GDP Growth (in %),2024,3.0,Montenegro
2170,MNG,Real GDP Growth (in %),2024,5.5,Mongolia
2171,MOZ,Real GDP Growth (in %),2024,8.2,Mozambique
2172,MRT,Real GDP Growth (in %),2024,5.1,Mauritania
2173,MUS,Real GDP Growth (in %),2024,4.1,Mauritius
2174,MWI,Real GDP Growth (in %),2024,3.2,Malawi
2175,MYS,Real GDP Growth (in %),2024,4.5,Malaysia
2176,NAM,Real GDP Growth (in %),2024,2.6,Namibia
2178,NER,Real GDP Growth (in %),2024,13.0,Niger
2179,NGA,Real GDP Growth (in %),2024,3.0,Nigeria
2180,NIC,Real GDP Growth (in %),2024,3.3,Nicaragua
2184,NPL,Real GDP Growth (in %),2024,5.1,Nepal
2185,NRU,Real GDP Growth (in %),2024,2.0,Nauru
